ALG	Fn	C
louvain2	GO.0030258	67
louvain2	GO.0031346	67
louvain2	GO.0032535	67
louvain2	GO.0032869	67
louvain2	GO.0034329	67
louvain2	GO.0034330	67
louvain2	GO.0038083	67
louvain2	GO.0043406	67
louvain2	GO.0043491	67
louvain2	GO.0045216	67
louvain2	GO.0048846	67
louvain2	GO.0050770	67
louvain2	GO.0050771	67
louvain2	GO.0061387	67
louvain2	GO.0000165	68
louvain2	GO.0007416	68
louvain2	GO.0010721	68
louvain2	GO.0031098	68
louvain2	GO.0034329	68
louvain2	GO.0034330	68
louvain2	GO.0038083	68
louvain2	GO.0042490	68
louvain2	GO.0042552	68
louvain2	GO.0043297	68
louvain2	GO.0043406	68
louvain2	GO.0043491	68
louvain2	GO.0045216	68
louvain2	GO.0048660	68
louvain2	GO.0050768	68
louvain2	GO.0050808	68
louvain2	GO.0050852	68
louvain2	GO.0051403	68
louvain2	GO.0060563	68
louvain2	GO.0002431	69
louvain2	GO.0002757	69
louvain2	GO.0031346	69
louvain2	GO.0032535	69
louvain2	GO.0032869	69
louvain2	GO.0000165	70
louvain2	GO.0006979	70
louvain2	GO.0007411	70
louvain2	GO.0010721	70
louvain2	GO.0032479	70
louvain2	GO.0032481	70
louvain2	GO.0032606	70
louvain2	GO.0034329	70
louvain2	GO.0034330	70
louvain2	GO.0034340	70
louvain2	GO.0034341	70
louvain2	GO.0038083	70
louvain2	GO.0043491	70
louvain2	GO.0048660	70
louvain2	GO.0048661	70
louvain2	GO.0050768	70
louvain2	GO.0051591	70
louvain2	GO.0060333	70
louvain2	GO.0060337	70
louvain2	GO.0071346	70
louvain2	GO.0071357	70
louvain2	GO.0031346	71
louvain2	GO.0034329	71
louvain2	GO.0061387	71
louvain2	GO.0000165	72
louvain2	GO.0007268	72
louvain2	GO.0007416	72
louvain2	GO.0019722	72
louvain2	GO.0031345	72
louvain2	GO.0031644	72
louvain2	GO.0035235	72
louvain2	GO.0042490	72
louvain2	GO.0048168	72
louvain2	GO.0048488	72
louvain2	GO.0050804	72
louvain2	GO.0050807	72
louvain2	GO.0050808	72
louvain2	GO.0051963	72
louvain2	GO.0055074	72
louvain2	GO.0060078	72
louvain2	GO.0098693	72
louvain2	GO.0099003	72
louvain2	GO.0099504	72
louvain2	GO.0099536	72
louvain2	GO.0099537	72
louvain2	GO.0099565	72
louvain2	GO.0099601	72
louvain2	GO.0001504	73
louvain2	GO.0007268	73
louvain2	GO.0042417	73
louvain2	GO.0050804	73
louvain2	GO.0050853	73
louvain2	GO.0099536	73
louvain2	GO.0099537	73
lec	GO.0000165	7
lec	GO.0002757	7
lec	GO.0031346	7
lec	GO.0032535	7
lec	GO.0034330	7
lec	GO.0045216	7
lec2	GO.0000165	4
lec2	GO.0002757	4
lec2	GO.0031346	4
lec2	GO.0032535	4
lec2	GO.0034330	4
lec2	GO.0045216	4
lec2	GO.0007268	7
lec2	GO.0007269	7
lec2	GO.0016079	7
lec2	GO.0050804	7
lec2	GO.0061025	7
lec2	GO.0099003	7
lec2	GO.0099504	7
lec2	GO.0099531	7
lec2	GO.0099536	7
lec2	GO.0099537	7
lec2	GO.0099643	7
lec2	GO.0002218	9
lec2	GO.0002758	9
lec2	GO.0050852	9
lec2	GO.0002218	11
lec2	GO.0002224	11
lec2	GO.0002758	11
lec2	GO.0009755	11
lec2	GO.0016571	11
lec2	GO.0018205	11
lec2	GO.0032479	11
lec2	GO.0032481	11
lec2	GO.0032606	11
lec2	GO.0032608	11
lec2	GO.0032609	11
lec2	GO.0032648	11
lec2	GO.0034968	11
lec2	GO.0043406	11
lec2	GO.0043414	11
lec2	GO.0050852	11
lec2	GO.0051403	11
lec2	GO.0042552	13
lec2	GO.0050770	14
lec2	GO.0006979	15
lec2	GO.0032609	15
lec2	GO.0042490	15
lec2	GO.0019933	16
lec2	GO.0030258	16
lec2	GO.0007268	17
lec2	GO.0007269	17
lec2	GO.0007416	17
lec2	GO.0008089	17
lec2	GO.0008361	17
lec2	GO.0031346	17
lec2	GO.0032535	17
lec2	GO.0050770	17
lec2	GO.0050804	17
lec2	GO.0050808	17
lec2	GO.0060074	17
lec2	GO.0061387	17
lec2	GO.0098930	17
lec2	GO.0099531	17
lec2	GO.0099536	17
lec2	GO.0099537	17
lec2	GO.0099643	17
