ENTREZ.ID	GENE.NAME	DEGREE	SR_UP	SR_DOWN
6122	RPL3	8	0.667645238198811	0.668006805561174
6155	RPL27	7	0.667479756130589	0.668039243282769
6156	RPL30	11	0.667382754321442	0.668025614293352
6168	RPL37A	5	0.667676573403587	0.668024675616561
64754	SMYD3	6	0.667527337645106	0.668038661313259
6638	SNRPN	8	0.66757410926686	0.668019390280578
8926	SNURF	11	0.667597182442387	0.667993023034452
6776	STAT5A	17	0.667421646419573	0.667981618591393
7247	TSN	7	0.667663943342426	0.668010508534363
8317	CDC7	14	0.667310744218026	0.668017682530481
8904	CPNE1	9	0.667473333880964	0.668024301903424
10055	SAE1	6	0.667574545902943	0.668032492494215
10102	TSFM	7	0.667757205695462	0.668001158632332
10131	TRAP1	7	0.667540005246078	0.668029949743035
10146	G3BP1	5	0.667603480092482	0.668033741611186
10383	TUBB4B	6	0.667616814797822	0.668025133595968
10636	RGS14	8	0.667541016966779	0.668021637553274
