entA	entB	We
3265	3963	1
3265	23348	1
3265	51735	1
3265	10979	1
3265	55243	1
3265	23011	1
3265	27342	1
3265	5294	1
3265	5291	1
3265	120	1
3265	2011	1
3265	157922	1
3265	6794	1
3265	9687	1
3265	11311	1
3265	6768	1
3265	23673	1
3265	10565	1
3265	214	1
3265	7525	1
3265	8650	1
3265	1500	1
3265	3482	1
3265	6814	1
3265	10652	1
3265	3050	1
3265	5711	1
3265	64398	1
3265	79571	1
3265	94121	1
3265	54927	1
3265	4012	1
3265	81704	1
3265	421	1
3265	143098	1
3265	22905	1
3265	57414	1
3265	23657	1
3265	23052	1
3265	5873	1
3265	57826	1
3265	255057	1
3265	55040	1
3265	9610	1
3265	144402	1
3265	9341	1
3265	51090	1
3265	55075	1
3265	6059	1
3265	10493	1
3265	7019	1
3265	9448	1
3265	6091	1
3265	5923	1
3265	7037	1
3265	56288	1
3265	738	1
3265	51393	1
3265	7779	1
3265	23218	1
3265	6507	1
3265	6305	1
3265	5754	1
3265	10723	1
3265	811	1
3265	112	1
3265	51347	1
3265	9554	1
3265	253959	1
3265	23187	1
3265	2182	1
3265	6566	1
3265	6520	1
3265	7879	1
3265	90678	1
3265	54795	1
3265	2035	1
3265	81624	1
3265	5331	1
3265	8502	1
3265	10067	1
3265	8216	1
3265	5872	1
3265	1456	1
3265	9522	1
3265	657	1
3265	57648	1
3265	65108	1
3265	123879	1
3265	8500	1
3265	8495	1
3265	29028	1
3265	54566	1
3265	25921	1
3265	9784	1
3265	9731	1
3265	57584	1
3265	89796	1
3265	80005	1
3265	23167	1
3265	57513	1
3265	57181	1
3265	119	1
3265	254102	1
3265	490	1
3265	6233	1
3265	23603	1
3265	391634	1
3265	5361	1
3265	255252	1
3265	25912	1
3265	23670	1
3265	11261	1
3265	23250	1
3265	27020	1
3265	26000	1
3265	124739	1
3265	29091	1
3265	25963	1
3265	57614	1
3265	8417	1
3265	8724	1
3265	4763	1
3265	8754	1
3265	6560	1
3265	51196	1
3265	6515	1
3265	55691	1
3265	54625	1
3265	987	1
3265	80700	1
3265	90102	1
3265	8036	1
3265	9462	1
3265	5874	1
3265	81539	1
3265	81563	1
3265	9497	1
3265	6102	1
3265	6509	1
3265	8776	1
3265	9962	1
3265	493	1
3265	9066	1
3265	343990	1
3265	84162	1
3265	8140	1
3265	9445	1
3265	79572	1
3265	92521	1
3265	57446	1
3265	6575	1
3265	5099	1
3265	57465	1
3265	55144	1
3265	6526	1
3265	5101	1
3265	9527	1
351	1956	1
351	322	1
351	7532	1
351	1072	1
351	3028	1
351	1600	1
351	5621	1
351	1191	1
351	4915	1
351	4747	1
351	4217	1
351	10987	1
351	1410	1
351	2273	1
351	22983	1
351	7276	1
351	7314	1
351	642	1
351	335	1
351	64965	1
351	4893	1
351	10211	1
351	4137	1
351	7165	1
351	320	1
351	5178	1
351	23090	1
351	6622	1
351	9479	1
351	1509	1
351	3845	1
351	5599	1
351	9040	1
351	11140	1
351	5864	1
351	2	1
351	7159	1
351	22919	1
351	6733	1
351	4846	1
351	51295	1
351	54536	1
351	4512	1
351	5354	1
351	5108	1
351	847	1
351	7267	1
351	6872	1
351	55361	1
351	51185	1
351	56899	1
351	8650	1
351	4916	1
351	23544	1
351	9217	1
351	6272	1
351	30968	1
351	321	1
351	811	1
351	55870	1
351	5980	1
351	10128	1
351	102	1
351	5872	1
351	5116	1
351	63891	1
351	4763	1
351	9839	1
351	84894	1
351	6653	1
351	9856	1
351	57528	1
351	55754	1
351	8774	1
9863	2066	1
9863	9228	1
9863	57453	1
9863	5365	1
9863	58512	1
9863	22839	1
9863	23095	1
9863	10458	1
9863	1499	1
9863	9693	1
9863	2903	1
9863	22871	1
9863	2905	1
9863	1915	1
9863	10769	1
9863	2895	1
9863	57555	1
9863	5728	1
9863	2043	1
9863	1501	1
9863	23109	1
9863	9229	1
9863	51248	1
9863	118812	1
9863	6389	1
9863	54549	1
9863	60412	1
9863	9900	1
8491	50618	1
8491	10580	1
8491	10987	1
8491	4893	1
8491	3845	1
8491	5588	1
4734	207	1
4734	6198	1
4734	1956	1
4734	10043	1
4734	2066	1
4734	7332	1
4734	57610	1
4734	57787	1
4734	1457	1
4734	4670	1
4734	26994	1
4734	7316	1
4734	9146	1
4734	4915	1
4734	51631	1
4734	4217	1
4734	10458	1
4734	9693	1
4734	10188	1
4734	2903	1
4734	146691	1
4734	2906	1
4734	2534	1
4734	81631	1
4734	7314	1
4734	57658	1
4734	10769	1
4734	11345	1
4734	6142	1
4734	23558	1
4734	6197	1
4734	23710	1
4734	6531	1
4734	6300	1
4734	2697	1
4734	8678	1
4734	6622	1
4734	5728	1
4734	2321	1
4734	1020	1
4734	6714	1
4734	26519	1
4734	5580	1
4734	27	1
4734	7322	1
4734	7323	1
4734	7159	1
4734	5710	1
4734	4215	1
4734	3020	1
4734	5604	1
4734	156	1
4734	1983	1
4734	2263	1
4734	57118	1
4734	9984	1
4734	2257	1
4734	5156	1
4734	2011	1
4734	4133	1
4734	388336	1
4734	23138	1
4734	57471	1
4734	3005	1
4734	56164	1
4734	5430	1
4734	30811	1
4734	10067	1
4734	2629	1
4734	2287	1
4734	176	1
4734	9683	1
4734	5613	1
4734	9962	1
30011	1742	1
30011	10015	1
30011	5295	1
30011	50618	1
30011	6457	1
30011	5684	1
30011	7316	1
30011	23607	1
30011	867	1
30011	29760	1
30011	5336	1
30011	3635	1
30011	3096	1
30011	10657	1
30011	1508	1
30011	116985	1
30011	10801	1
30011	84445	1
30011	7159	1
30011	283234	1
30011	51222	1
30011	56904	1
30011	23109	1
30011	114824	1
30011	23294	1
30011	23322	1
30011	8853	1
1387	207	1
1387	3064	1
1387	3146	1
1387	1147	1
1387	1859	1
1387	2547	1
1387	9439	1
1387	142	1
1387	4217	1
1387	1499	1
1387	4297	1
1387	26036	1
1387	55729	1
1387	324	1
1387	5792	1
1387	6774	1
1387	5594	1
1387	1434	1
1387	10657	1
1387	546	1
1387	1967	1
1387	4673	1
1387	2130	1
1387	2580	1
1387	4137	1
1387	5831	1
1387	1386	1
1387	23633	1
1387	7158	1
1387	121504	1
1387	8350	1
1387	8294	1
1387	8359	1
1387	8362	1
