entA	entB	We
7533	4217	1
7533	3315	1
7533	9001	1
7533	23136	1
7533	5127	1
7533	6622	1
7533	5218	1
7533	22999	1
7533	55835	1
7533	22832	1
7533	8650	1
7533	80184	1
7533	340527	1
7533	9859	1
57403	55198	1
57403	8411	1
57403	22930	1
57403	7879	1
6810	8773	1
6810	6804	1
6810	50618	1
6810	10006	1
6810	5684	1
6810	10228	1
6810	2010	1
6810	7542	1
6810	10490	1
6810	10152	1
6810	8675	1
6810	6812	1
6810	5354	1
6810	4000	1
6810	56904	1
6810	6844	1
6810	112755	1
6810	23673	1
6810	116841	1
6810	6814	1
6810	6843	1
6810	63908	1
6810	9341	1
6810	80331	1
6810	9554	1
6810	134957	1
6810	8417	1
6810	8775	1
6810	8879	1
8773	6804	1
8773	9146	1
8773	667	1
8773	4893	1
8773	10152	1
8773	9513	1
8773	3845	1
8773	6844	1
8773	112755	1
8773	2785	1
8773	6814	1
8773	63908	1
8773	9782	1
8773	134957	1
8773	6196	1
8773	8775	1
8773	9515	1
10043	7316	1
10043	9146	1
10043	10755	1
10043	7314	1
10043	4646	1
10043	10994	1
10043	4734	1
10043	58155	1
10043	6232	1
10043	54472	1
10043	9529	1
3984	1072	1
3984	5058	1
3984	8476	1
3984	5566	1
3984	5062	1
3984	4155	1
3984	56924	1
3984	3326	1
3984	3024	1
1072	2066	1
1072	1956	1
1072	71	1
1072	70	1
1072	6195	1
1072	1073	1
1072	60	1
1072	476	1
1072	6714	1
1072	10808	1
1072	2017	1
1072	23542	1
1072	8664	1
5894	29763	1
5894	5058	1
5894	1956	1
5894	4217	1
5894	2810	1
5894	22800	1
5894	5315	1
5894	5708	1
5894	5515	1
5894	10273	1
5894	4043	1
5894	4893	1
5894	5932	1
5894	2911	1
5894	5062	1
5894	5527	1
5894	5605	1
5894	5037	1
5894	10048	1
5894	3845	1
5894	4155	1
5894	5594	1
5894	5599	1
5894	10963	1
5894	5595	1
5894	7322	1
5894	1399	1
5894	6009	1
5894	10910	1
5894	11140	1
5894	3326	1
5894	5516	1
5894	9532	1
5894	5906	1
5894	5604	1
5894	5536	1
5894	8079	1
5894	80755	1
5894	5813	1
5894	50813	1
5894	92609	1
5894	4763	1
5894	8533	1
5894	7203	1
1613	23327	1
1613	6774	1
1613	70	1
1613	10627	1
1613	11140	1
1613	3326	1
1613	5108	1
1613	4659	1
1613	117177	1
1613	103910	1
1613	7168	1
1613	6164	1
1613	50808	1
2891	2892	1
2891	9463	1
2891	10755	1
2891	4905	1
2891	2893	1
2891	8497	1
2891	80852	1
2891	5599	1
2891	6386	1
2891	23426	1
2892	9463	1
2892	4905	1
2892	80852	1
2892	23426	1
29763	6453	1
29763	8976	1
29763	30000	1
29763	8754	1
4783	2273	1
3276	3178	1
3276	3190	1
3276	10657	1
3276	10094	1
3276	10236	1
3276	11100	1
3276	10273	1
3276	2521	1
3276	22927	1
3276	6279	1
3276	2130	1
3276	56341	1
3276	26036	1
3276	1973	1
3276	3420	1
3276	121504	1
3276	10492	1
3276	6772	1
3276	11140	1
3276	56252	1
3276	22832	1
3276	23001	1
3276	3192	1
3276	10290	1
3276	8294	1
3276	8359	1
3276	3609	1
3276	9898	1
3276	84966	1
3276	4076	1
41	9463	1
41	5566	1
3028	210	1
3028	226	1
3028	4190	1
3028	2752	1
3028	5160	1
3028	9131	1
3028	7321	1
3028	10452	1
3028	1808	1
3028	3329	1
